"DiagnosisCode","Year","Diagnoses","Treat.and.Release","Patient.Admitted","CCSR for ICD-10-CM Body System"
"BLD","2016","BLD001: Nutritional anemia",1194,948,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2016","BLD002: Hemolytic anemia",72,114,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2016","BLD003: Aplastic anemia",3479,559,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2016","BLD004: Acute posthemorrhagic anemia",253,617,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2016","BLD005: Sickle cell trait/anemia",910,585,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2016","BLD006: Coagulation and hemorrhagic disorders",1137,606,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2016","BLD007: Diseases of white blood cells",1175,521,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2016","BLD008: Immunity disorders",112,39,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2016","BLD009: Postproc complications of spleen",NA,NA,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2016","BLD010: Oth hematologic conditions",82,96,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2017","BLD006: Coagulation and hemorrhagic disorders",1008,846,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2017","BLD007: Diseases of white blood cells",1044,446,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2017","BLD008: Immunity disorders",118,41,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2019","BLD001: Nutritional anemia",1464,857,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2019","BLD002: Hemolytic anemia",77,107,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2019","BLD003: Aplastic anemia",4327,633,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2019","BLD004: Acute posthemorrhagic anemia",334,651,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2019","BLD005: Sickle cell trait/anemia",685,665,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2017","BLD001: Nutritional anemia",1264,907,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2017","BLD002: Hemolytic anemia",55,120,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2017","BLD003: Aplastic anemia",3576,594,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2017","BLD004: Acute posthemorrhagic anemia",264,569,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2017","BLD005: Sickle cell trait/anemia",762,556,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2018","BLD001: Nutritional anemia",1362,817,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2018","BLD002: Hemolytic anemia",73,114,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"BLD","2018","BLD003: Aplastic anemia",3995,627,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
